iter	Passed	Remaining
875	1063	150
876	1064	149
877	1065	148
878	1066	146
879	1067	145
880	1068	144
881	1069	143
882	1070	141
883	1073	140
884	1074	139
885	1075	138
886	1076	137
887	1077	135
888	1078	134
889	1079	133
890	1080	132
891	1081	130
892	1082	129
893	1083	128
894	1084	127
895	1085	125
896	1086	124
897	1086	123
898	1087	122
899	1088	120
900	1089	119
901	1090	118
902	1091	117
903	1092	116
904	1094	114
905	1096	113
906	1097	112
907	1098	111
908	1099	110
909	1100	108
910	1101	107
911	1102	106
912	1103	105
913	1104	103
914	1105	102
915	1106	101
916	1107	100
917	1108	98
918	1109	97
919	1110	96
920	1110	95
921	1112	94
922	1112	92
923	1113	91
924	1114	90
925	1115	89
926	1117	87
927	1117	86
928	1118	85
929	1119	84
930	1120	83
931	1121	81
932	1122	80
933	1123	79
934	1124	78
935	1125	76
936	1125	75
937	1127	74
938	1128	73
939	1129	72
940	1129	70
941	1131	69
942	1132	68
943	1133	67
944	1134	66
945	1135	64
946	1136	63
947	1137	62
948	1139	61
949	1140	60
950	1141	58
951	1142	57
952	1143	56
953	1144	55
954	1145	53
955	1146	52
956	1147	51
957	1148	50
958	1149	49
959	1150	47
960	1150	46
961	1151	45
962	1152	44
963	1153	43
964	1154	41
965	1155	40
966	1155	39
967	1156	38
968	1157	37
969	1158	35
970	1159	34
971	1160	33
972	1162	32
973	1164	31
974	1164	29
975	1165	28
976	1166	27
977	1167	26
978	1168	25
979	1169	23
980	1170	22
981	1170	21
982	1171	20
983	1172	19
984	1173	17
985	1174	16
986	1175	15
987	1176	14
988	1176	13
989	1177	11
990	1178	10
991	1179	9
992	1180	8
993	1181	7
994	1181	5
995	1182	4
996	1185	3
997	1186	2
998	1187	1
999	1188	0
